segment_number,H2OC__sh_g__correlation,T_degC__rho__correlation
1,0.999964331172956,-0.967712312456555
2,0.999982292710225,-0.992647694327969
3,0.999944398331635,-0.987248708558845
4,0.999935450756259,-0.882209865899486
5,0.999965260713091,-0.935001421884857
6,0.99996073107302,-0.861270366592849
7,0.999982530468072,-0.96892593496545
8,0.999961002934396,-0.920800611447641
9,0.999953112863399,-0.875989725607215
10,0.999891841862757,-0.872772743562774
11,0.999927414592902,-0.991428331423025
12,0.999958602267693,-0.937261126430108
13,0.999773484081863,-0.539121168142338
14,0.999918331812057,-0.912394955968326
15,0.99994687283816,-0.949943833692618
16,0.999938838228481,-0.825878333190885
17,0.999933450575138,-0.977763880833589
18,0.999956485207255,-0.977124758066176
19,0.999865410509674,0.0224653685745059
20,0.999635209918384,-0.278746607476382
21,0.999980934298162,-0.974538120340872
22,0.999955973142087,-0.851653796102024
23,0.999995174231859,-0.956717091448892
24,0.999979856984773,-0.908305322735743
25,0.999973656620102,-0.776044595129051
26,0.999937439264659,-0.905289364518014
27,0.999804160693711,-0.954593184452306
28,0.999978048935549,-0.490345208044867
29,0.999979848063719,-0.842907228826476
30,0.999691771588062,-0.826401370798999
31,0.999978432493432,-0.91492364761338
32,0.999920253558743,-0.971849564957598
33,0.999956558698844,-0.996630100551293
34,0.999975741991245,-0.986916773764004
35,0.999849627576436,-0.540075925767609
36,0.999973823816226,-0.951622156353787
37,0.999961538348406,-0.951434320210187
38,0.999566730505396,-0.847855639749265
39,0.999995224765914,-0.890362281835999
40,0.99998282151062,-0.886986970860922
41,0.999990153577544,-0.824026588485181
42,0.999895788543954,-0.770157487136715
43,0.999962822234276,-0.624926242738279
44,0.999982337827171,-0.987424201279285
45,0.999953209664785,-0.976268200624866
46,0.999966845266566,-0.857850693400786
47,0.99992828445006,-0.971301282259318
48,0.999984899436822,-0.660843364188579
49,0.999906505612236,-0.374879068289063
50,0.999962064191322,-0.990811351719538
51,0.999968603299899,-0.964871948503793
52,0.999994861010602,-0.992439885854617
53,0.999982785517131,-0.962647753528623
54,0.999995528684684,-0.977264572444331
55,0.999970709709312,-0.982052634105083
56,0.999994834080195,-0.995266380065402
57,0.999991151160026,-0.989964473716024
58,0.999974590063323,-0.999009959152641
59,0.999905696342173,-0.999572208563322
60,0.999981540596226,-0.993627043280097
61,0.999952513094057,-0.968682855909389
62,0.99970190276191,-0.983890252655076
63,0.999865958108923,-0.990237795594195
64,0.999984875616103,-0.996962687685607
65,0.999901761749404,-0.999054641105353
66,0.999977799369974,-0.976649579551377
67,0.999993089268168,-0.991301137271919
68,0.999982889585731,-0.993516569248671
69,0.999950418037879,-0.985054844352796
70,0.999979552973001,-0.913587687205978
71,0.999929103598767,-0.995412762188698
72,0.999952237627116,-0.997983097199418
73,0.999995846021503,-0.996844762279896
74,0.999992052513177,-0.999401386294075
75,0.999978854262339,-0.999599110010513
76,0.999915012506461,-0.987441661299404
77,0.999917825599641,-0.99315552585885
78,0.999978880511175,-0.975362272267983
79,0.999740995374414,-0.99579528427452
80,0.999947165821157,-0.998026653844707
81,0.999990313733843,-0.99879506907374
82,0.999960431697024,-0.995607093949241
83,0.999888402255591,-0.998972322469458
84,0.999894455606037,-0.998963835586398
85,0.999956242469116,-0.99441094577003
86,0.999957789278822,-0.99650166439068
87,0.999892270515342,-0.995850988854995
88,0.999925138600011,-0.998938121151399
89,0.999977709998291,-0.996686957679702
90,0.99999351581214,-0.984715164465048
91,0.999984386847372,-0.994311299266298
92,0.999861167285678,-0.795710063504423
93,0.999893971123054,-0.994438448206723
94,0.999988851938537,-0.998830101394393
95,0.999963821343286,-0.991288528468867
96,0.999985194912531,-0.993820901115094
97,0.999951401448662,-0.994024916485911
98,0.999998397408131,-0.980053377600852
99,0.999991528926278,-0.984639653291197
100,0.999946564324087,-0.992120657674306
101,0.99996728976852,-0.971916502784524
102,0.999946857360898,-0.994985617934579
103,0.999897657395451,-0.994811310036203
104,0.999983394962346,-0.99667226188994
105,0.999985423499898,-0.998036674315267
106,0.999992087677662,-0.99764758963883
107,0.9999950315923,-0.993643480439203
108,0.999982305987202,-0.967556384126934
109,0.999923446499781,-0.994396489498394
110,0.999982872103447,-0.991961347569605
111,0.999986311808685,-0.997412846336049
112,0.999977819894932,-0.990436515245666
113,0.999964837015964,-0.999336047955597
114,0.999955863643375,-0.99367670526414
115,0.999989574599768,-0.977841229723148
116,0.999995260823788,-0.947593029112644
117,0.999976450733882,-0.950288691956072
118,0.99998846319309,-0.942714958399221
119,0.999991925902556,-0.999165721841983
120,0.999983283630997,-0.939557071845028
121,0.999991241805672,-0.998455509732879
122,0.999994562268025,-0.997029428978522
123,0.999987646122238,-0.972648261950764
124,0.999994577535975,-0.972256378400866
125,0.999987424414297,-0.986281865439362
126,0.999993983232486,-0.992868057657346
127,0.99999377158442,-0.99645186902831
128,0.999980255627573,-0.98903139886963
129,0.999989869838699,-0.996308366446511
130,0.99998818662815,-0.989984489926191
131,0.999983842258017,-0.999007379939837
132,0.999994629642172,-0.988085321178178
133,0.999992602090286,-0.992424033240032
134,0.999994436372442,-0.984374754182022
135,0.999993218106942,-0.994434276433638
136,0.999997109637885,-0.992944275266689
137,0.999995131284006,-0.987520564616911
138,0.999996665866354,-0.96594605340411
139,0.999991609168069,-0.965149918484621
140,0.99999261699971,-0.98989100674174
141,0.999988175168072,-0.98224258202459
142,0.999984237664728,-0.982695826965546
143,0.999994320511921,-0.985150185036596
144,0.999995652727784,-0.95632413590382
145,0.999952377151184,-0.997095655686217
146,0.999983481396215,-0.98760473709832
147,0.999993920612255,-0.981166156098374
148,0.999976783010706,-0.991010758961198
149,0.999992334378093,-0.999053861693769
150,0.999982099318801,-0.996855932609019
151,0.999993370551354,-0.984220852627582
152,0.999975523263449,-0.999173475282242
153,0.999970319361506,-0.977789751968128
154,0.99999230012725,-0.999024712900045
155,0.999995887219932,-0.97305378894749
156,0.999993485242792,-0.922080419651111
157,0.999990139574075,-0.9822470364513
158,0.999966107191394,-0.999104385658992
159,0.999988685239516,-0.995544133266239
160,0.999992985961837,-0.996607948990503
161,0.999987341190587,-0.974315700385086
162,0.999989610348327,-0.997845311839245
163,0.999993612881688,-0.998253366519933
164,0.999980067919313,-0.997583590750545
165,0.999990158529272,-0.994308941351022
166,0.999992280425934,-0.999409352098067
167,0.99997693226234,-0.998196836840983
168,0.999961087200855,-0.996616563880762
169,0.9999775056805,-0.993933593660718
170,0.999991554421976,-0.997682027492566
171,0.999995689875958,-0.996642642711937
172,0.999981817487589,-0.999129461051402
173,0.999993901047734,-0.999750206199052
174,0.999997208451841,-0.976807086297089
175,0.999994971901189,-0.994474351714676
176,0.999982656611943,-0.998822724833944
177,0.999982968407279,-0.756239750269348
178,0.999982282403462,-0.941507328372088
179,0.999990204426532,-0.983426158628909
180,0.999989626012676,-0.999086691644341
181,0.999972210897081,-0.840802802491965
182,0.999987879135101,-0.998787200204682
183,0.999982816237345,-0.998185473578976
184,0.999996458552951,-0.998147186232463
185,0.999996659965357,-0.992214159692564
186,0.999979993312003,-0.986073837093791
187,0.999983780851665,-0.994112524431687
188,0.999997174283104,-0.988836484480339
189,0.999991943478117,-0.99906761964936
190,0.999987695343034,-0.990606425105457
191,0.999987778666062,-0.99272482027436
192,0.999984150076742,-0.998369361898598
193,0.999997595022004,-0.964578098871652
194,0.999895050120116,-0.992981294869012
195,0.9999688149324,-0.997673586721843
196,0.999989350540866,-0.992828414239158
197,0.999987136737453,-0.992850710649825
198,0.999993293696782,-0.992153293569484
199,0.999997606627993,-0.973347757908812
200,0.999965528236359,-0.987671028238954
201,0.999988666171867,-0.912007704034615
202,0.999974143499516,-0.982336841296169
203,0.999988913718968,-0.955919826886063
204,0.99997403014313,-0.989484980983248
205,0.999986792555489,-0.966195815822891
206,0.999991996077796,-0.966245847152545
207,0.999985828277964,-0.998850369682914
208,0.999973494585496,-0.960022707534162
209,0.999939551411409,-0.698124154812862
210,0.999991383397337,-0.997569304030741
211,0.999984364259534,-0.911143620847199
212,0.999983999058293,-0.99694978237568
213,0.999965529691773,-0.977039770646895
214,0.99905464362191,-0.700406934893092
215,0.999920475460215,-0.860301552058432
216,0.999825240471062,-0.87606047703838
217,0.999982728558649,-0.989076910565822
218,0.999976102026941,-0.945072207738867
219,0.999988372995123,-0.964866386267181
220,0.99998418806324,-0.989318801591026
221,0.999946007947833,-0.892577806057924
222,0.999974208919234,-0.941807727291598
223,0.999971527687836,-0.982674258363902
224,0.999986213824645,-0.833824098265823
