method,segment_number,start_index,end_index_exclusive,end_index_inclusive,start_time,end_time,length_samples,length_hours,cluster,operation_id,pca_1,pca_2
SlidingWindowSymmetricKL,1,0,192,191,2020-01-01 00:10:00,2020-01-02 08:00:00,192,32.0,1,OP_002,-15.972369705191307,-9.843515159616596
SlidingWindowSymmetricKL,2,192,372,371,2020-01-02 08:10:00,2020-01-03 14:00:00,180,30.0,1,OP_002,-13.921968883176596,-5.444781314852203
SlidingWindowSymmetricKL,3,372,552,551,2020-01-03 14:10:00,2020-01-04 20:00:00,180,30.0,1,OP_002,-16.94426331070715,7.834921427113972
SlidingWindowSymmetricKL,4,552,917,916,2020-01-04 20:10:00,2020-01-07 08:50:00,365,60.833333333333336,1,OP_002,-15.342447264806328,-0.2315711770843513
SlidingWindowSymmetricKL,5,917,1133,1132,2020-01-07 09:00:00,2020-01-08 20:50:00,216,36.0,1,OP_002,-17.8230621710802,2.8933161670336647
SlidingWindowSymmetricKL,6,1133,1330,1329,2020-01-08 21:00:00,2020-01-10 05:40:00,197,32.833333333333336,1,OP_002,-13.484411756408933,2.435922964393386
SlidingWindowSymmetricKL,7,1330,1489,1488,2020-01-10 05:50:00,2020-01-11 08:10:00,159,26.5,1,OP_002,-12.986021180234557,1.4164332910991977
SlidingWindowSymmetricKL,8,1489,1633,1632,2020-01-11 08:20:00,2020-01-12 08:10:00,144,24.0,1,OP_002,-11.263459722180581,-8.389646591054312
SlidingWindowSymmetricKL,9,1633,1779,1778,2020-01-12 08:20:00,2020-01-13 08:30:00,146,24.33333333333333,1,OP_002,-13.475118291526943,4.36756767333058
SlidingWindowSymmetricKL,10,1779,1924,1923,2020-01-13 08:40:00,2020-01-14 08:40:00,145,24.166666666666668,1,OP_002,-16.107355645103823,5.360346939063837
SlidingWindowSymmetricKL,11,1924,2209,2208,2020-01-14 08:50:00,2020-01-16 08:10:00,285,47.5,1,OP_002,-6.890371037047119,5.687832131436802
SlidingWindowSymmetricKL,12,2209,2353,2352,2020-01-16 08:20:00,2020-01-17 08:10:00,144,24.0,1,OP_002,-8.025940157496482,-8.280410858126782
